"Title","Start","End","Duration"
"Sleep","11/13/2015 00:00","11/13/2015 05:00","05:00"
"Non-Technical Work","11/13/2015 05:00","11/13/2015 08:00","03:00"
"Meetings","11/13/2015 08:00","11/13/2015 08:30","00:30"
"Non-Technical Work","11/13/2015 08:30","11/13/2015 09:00","00:30"
"Meetings","11/13/2015 09:00","11/13/2015 10:15","01:15"
"Non-Technical Work","11/13/2015 10:15","11/13/2015 12:15","02:00"
"Meetings","11/13/2015 12:15","11/13/2015 12:45","00:30"
"Non-Technical Work","11/13/2015 12:45","11/13/2015 13:15","00:30"
"Travel","11/13/2015 13:15","11/13/2015 13:45","00:30"
"Non-Technical Work","11/13/2015 13:45","11/13/2015 15:30","01:45"
"Travel","11/13/2015 15:30","11/13/2015 19:30","04:00"
"Personal","11/13/2015 19:30","11/13/2015 23:15","03:45"
"Sleep","11/13/2015 23:15","11/14/2015 00:00","00:45"
"Sleep","11/14/2015 00:00","11/14/2015 08:00","08:00"
"Non-Technical Work","11/14/2015 08:00","11/14/2015 11:00","03:00"
"Personal","11/14/2015 11:00","11/14/2015 22:45","11:45"
"Personal","11/14/2015 22:45","11/14/2015 23:15","00:30"
"Sleep","11/14/2015 23:15","11/15/2015 00:00","00:45"
"Sleep","11/15/2015 00:00","11/15/2015 06:30","06:30"
"Non-Technical Work","11/15/2015 06:30","11/15/2015 08:15","01:45"
"Personal","11/15/2015 08:15","11/15/2015 13:00","04:45"
"Non-Technical Work","11/15/2015 13:00","11/15/2015 18:00","05:00"
"Personal","11/15/2015 18:00","11/15/2015 22:45","04:45"
"Personal","11/15/2015 22:45","11/15/2015 23:15","00:30"
"Sleep","11/15/2015 23:15","11/16/2015 00:00","00:45"
"Sleep","11/16/2015 00:00","11/16/2015 05:00","05:00"
"Non-Technical Work","11/16/2015 05:00","11/16/2015 07:00","02:00"
"Personal","11/16/2015 07:00","11/16/2015 13:00","06:00"
"Non-Technical Work","11/16/2015 13:00","11/16/2015 18:00","05:00"
"Personal","11/16/2015 18:00","11/16/2015 22:45","04:45"
"Sleep","11/16/2015 22:45","11/16/2015 23:30","00:45"
"Travel","11/16/2015 23:30","11/17/2015 00:00","00:30"
"Travel","11/17/2015 00:00","11/17/2015 06:15","06:15"
"Non-Technical Work","11/17/2015 06:15","11/17/2015 09:45","03:30"
"Travel","11/17/2015 09:45","11/17/2015 10:00","00:15"
"Non-Technical Work","11/17/2015 10:00","11/17/2015 11:00","01:00"
"Travel","11/17/2015 11:00","11/17/2015 11:30","00:30"
"Meetings","11/17/2015 11:30","11/17/2015 12:45","01:15"
"Non-Technical Work","11/17/2015 12:45","11/17/2015 14:00","01:15"
"Meetings","11/17/2015 14:00","11/17/2015 14:15","00:15"
"Non-Technical Work","11/17/2015 14:15","11/17/2015 16:00","01:45"
"Meetings","11/17/2015 16:00","11/17/2015 22:00","06:00"
"Personal","11/17/2015 22:00","11/17/2015 23:00","01:00"
"Sleep","11/17/2015 23:00","11/18/2015 00:00","01:00"
"Sleep","11/18/2015 00:00","11/18/2015 05:00","05:00"
"Non-Technical Work","11/18/2015 05:00","11/18/2015 08:00","03:00"
"Meetings","11/18/2015 08:00","11/18/2015 08:15","00:15"
"Non-Technical Work","11/18/2015 08:15","11/18/2015 10:00","01:45"
"Meetings","11/18/2015 10:00","11/18/2015 11:00","01:00"
"Non-Technical Work","11/18/2015 11:00","11/18/2015 12:45","01:45"
"Meetings","11/18/2015 12:45","11/18/2015 13:15","00:30"
"Non-Technical Work","11/18/2015 13:15","11/18/2015 14:00","00:45"
"Meetings","11/18/2015 14:00","11/18/2015 22:00","08:00"
"Personal","11/18/2015 22:00","11/18/2015 23:00","01:00"
"Sleep","11/18/2015 23:00","11/19/2015 00:00","01:00"
"Sleep","11/19/2015 00:00","11/19/2015 05:00","05:00"
"Non-Technical Work","11/19/2015 05:00","11/19/2015 08:00","03:00"
"Meetings","11/19/2015 08:00","11/19/2015 08:15","00:15"
"Non-Technical Work","11/19/2015 08:15","11/19/2015 09:00","00:45"
"Meetings","11/19/2015 09:00","11/19/2015 09:15","00:15"
"Non-Technical Work","11/19/2015 09:15","11/19/2015 10:00","00:45"
"Meetings","11/19/2015 10:00","11/19/2015 11:00","01:00"
"Non-Technical Work","11/19/2015 11:00","11/19/2015 13:45","02:45"
"Meetings","11/19/2015 13:45","11/19/2015 15:15","01:30"
"Non-Technical Work","11/19/2015 15:15","11/19/2015 17:00","01:45"
"Meetings","11/19/2015 17:00","11/20/2015 00:00","07:00"
"Sleep","11/20/2015 00:00","11/20/2015 05:00","05:00"
"Non-Technical Work","11/20/2015 05:00","11/20/2015 08:00","03:00"
"Meetings","11/20/2015 08:00","11/20/2015 09:00","01:00"
"Non-Technical Work","11/20/2015 09:00","11/20/2015 11:00","02:00"
"Meetings","11/20/2015 11:00","11/20/2015 12:00","01:00"
"Non-Technical Work","11/20/2015 12:00","11/20/2015 16:30","04:30"
"Meetings","11/20/2015 16:30","11/20/2015 18:30","02:00"
"Non-Technical Work","11/20/2015 18:30","11/20/2015 21:00","02:30"
"Sleep","11/20/2015 21:00","11/20/2015 22:30","01:30"
"Travel","11/20/2015 22:30","11/21/2015 00:00","01:30"
"Travel","11/21/2015 00:00","11/21/2015 02:30","02:30"
"Personal","11/21/2015 02:30","11/21/2015 03:00","00:30"
"Sleep","11/21/2015 03:00","11/21/2015 06:30","03:30"
"Personal","11/21/2015 06:30","11/21/2015 09:00","02:30"
"Non-Technical Work","11/21/2015 09:00","11/21/2015 13:00","04:00"
"Sleep","11/21/2015 13:00","11/21/2015 15:00","02:00"
"Personal","11/21/2015 15:00","11/21/2015 19:00","04:00"
"Non-Technical Work","11/21/2015 19:00","11/21/2015 23:30","04:30"
"Sleep","11/21/2015 23:30","11/22/2015 00:00","00:30"
"Sleep","11/22/2015 00:00","11/22/2015 05:00","05:00"
"Non-Technical Work","11/22/2015 05:00","11/22/2015 08:00","03:00"
