"Title","Start","End","Duration"
"Technical Work
","12/22/2015 08:45","12/22/2015 11:00","02:15"
"Personal","12/22/2015 11:00","12/22/2015 15:30","04:30"
"Technical Work
","12/22/2015 15:30","12/22/2015 19:00","03:30"
"Personal","12/22/2015 19:00","12/22/2015 20:30","01:30"
"Technical Work","12/22/2015 20:30","12/23/2015 00:00","03:30"
"Technical Work","12/23/2015 00:00","12/23/2015 01:00","01:00"
"Sleep","12/23/2015 01:00","12/23/2015 07:00","06:00"
"Personal","12/23/2015 07:00","12/23/2015 08:00","01:00"
"Meetings","12/23/2015 08:00","12/23/2015 08:45","00:45"
"Non-Technical Work","12/23/2015 08:45","12/23/2015 10:30","01:45"
"Personal","12/23/2015 10:30","12/23/2015 16:30","06:00"
"Non-Technical Work","12/23/2015 16:30","12/23/2015 18:15","01:45"
"Personal","12/23/2015 18:15","12/23/2015 20:30","02:15"
"Technical Work","12/23/2015 20:30","12/24/2015 00:00","03:30"
"Technical Work","12/24/2015 00:00","12/24/2015 01:00","01:00"
"Sleep","12/24/2015 01:00","12/24/2015 07:00","06:00"
"Personal","12/24/2015 07:00","12/24/2015 22:30","15:30"
"Non-Technical Work","12/24/2015 22:30","12/25/2015 00:00","01:30"
"Technical Work","12/25/2015 00:00","12/25/2015 01:00","01:00"
"Sleep","12/25/2015 01:00","12/25/2015 07:15","06:15"
"Personal","12/25/2015 07:15","12/25/2015 22:30","15:15"
"Non-Technical Work","12/25/2015 22:30","12/26/2015 00:00","01:30"
"Technical Work","12/26/2015 00:00","12/26/2015 01:00","01:00"
"Sleep","12/26/2015 01:00","12/26/2015 07:00","06:00"
"Personal","12/26/2015 07:00","12/26/2015 11:30","04:30"
"Non-Technical Work","12/26/2015 11:30","12/26/2015 16:30","05:00"
"Personal","12/26/2015 16:30","12/26/2015 19:30","03:00"
"Non-Technical Work","12/26/2015 19:30","12/27/2015 00:00","04:30"
"Technical Work","12/27/2015 00:00","12/27/2015 01:00","01:00"
"Sleep","12/27/2015 01:00","12/27/2015 05:30","04:30"
"Travel","12/27/2015 05:30","12/27/2015 18:00","12:30"
"Personal","12/27/2015 18:00","12/27/2015 20:30","02:30"
"Sleep","12/27/2015 20:30","12/28/2015 00:00","03:30"
"Sleep","12/28/2015 00:00","12/28/2015 06:00","06:00"
"Personal","12/28/2015 06:00","12/28/2015 08:00","02:00"
"Meetings","12/28/2015 08:00","12/28/2015 08:30","00:30"
"Technical Work","12/28/2015 08:30","12/28/2015 18:30","10:00"
"Personal","12/28/2015 18:30","12/28/2015 20:00","01:30"
"Technical Work","12/28/2015 20:00","12/29/2015 00:00","04:00"
"Technical Work","12/29/2015 00:00","12/29/2015 01:00","01:00"
"Sleep","12/29/2015 01:00","12/29/2015 06:30","05:30"
"Personal","12/29/2015 06:30","12/29/2015 08:00","01:30"
"Meetings","12/29/2015 08:00","12/29/2015 08:30","00:30"
"Technical Work","12/29/2015 08:30","12/29/2015 18:30","10:00"
"Personal","12/29/2015 18:30","12/29/2015 20:00","01:30"
"Technical Work","12/29/2015 20:00","12/30/2015 00:00","04:00"
"Technical Work","12/30/2015 00:00","12/30/2015 00:30","00:30"
"Sleep","12/30/2015 00:30","12/30/2015 06:30","06:00"
"Personal","12/30/2015 06:30","12/30/2015 08:00","01:30"
"Meetings","12/30/2015 08:00","12/30/2015 08:30","00:30"
"Technical Work","12/30/2015 08:30","12/30/2015 19:45","11:15"
"Personal","12/30/2015 19:45","12/30/2015 20:30","00:45"
"Technical Work","12/30/2015 20:30","12/31/2015 00:00","03:30"
"Technical Work","12/31/2015 00:00","12/31/2015 01:00","01:00"
"Sleep","12/31/2015 01:00","12/31/2015 06:30","05:30"
"Personal","12/31/2015 06:30","12/31/2015 08:00","01:30"
"Meetings","12/31/2015 08:00","12/31/2015 08:30","00:30"
"Technical Work","12/31/2015 08:30","12/31/2015 18:30","10:00"
"Personal","12/31/2015 18:30","12/31/2015 19:45","01:15"
"Technical Work","12/31/2015 19:45","01/01/2016 00:00","04:15"
"Sleep","01/01/2016 00:00","01/01/2016 05:30","05:30"
"Personal","01/01/2016 05:30","01/01/2016 07:00","01:30"
"Technical Work","01/01/2016 07:00","01/01/2016 22:30","15:30"
"Sleep","01/01/2016 22:30","01/02/2016 00:00","01:30"
"Sleep","01/02/2016 00:00","01/02/2016 04:30","04:30"
"Personal","01/02/2016 04:30","01/02/2016 06:30","02:00"
"Technical Work","01/02/2016 06:30","01/02/2016 22:00","15:30"
"Sleep","01/02/2016 22:00","01/03/2016 00:00","02:00"
"Sleep","01/03/2016 00:00","01/03/2016 01:00","01:00"
"Personal","01/03/2016 01:00","01/03/2016 03:00","02:00"
"Sleep","01/03/2016 03:00","01/03/2016 06:00","03:00"
"Personal","01/03/2016 06:00","01/03/2016 08:00","02:00"
"Technical Work","01/03/2016 08:00","01/03/2016 18:15","10:15"
"Personal","01/03/2016 18:15","01/03/2016 19:30","01:15"
"Technical Work","01/03/2016 19:30","01/04/2016 00:00","04:30"
"Technical Work","01/04/2016 00:00","01/04/2016 00:30","00:30"
"Sleep","01/04/2016 00:30","01/04/2016 02:00","01:30"
"Personal","01/04/2016 02:00","01/04/2016 04:00","02:00"
"Sleep","01/04/2016 04:00","01/04/2016 07:00","03:00"
"Personal","01/04/2016 07:00","01/04/2016 08:30","01:30"
"Sleep","01/04/2016 08:30","01/04/2016 09:45","01:15"
"Technical Work","01/04/2016 09:45","01/04/2016 11:00","01:15"
"Meetings","01/04/2016 11:00","01/04/2016 13:30","02:30"
"Technical Work","01/04/2016 13:30","01/04/2016 18:15","04:45"
"Personal","01/04/2016 18:15","01/04/2016 19:30","01:15"
"Technical Work","01/04/2016 19:30","01/05/2016 00:00","04:30"
"Technical Work","01/05/2016 00:00","01/05/2016 00:30","00:30"
"Sleep","01/05/2016 00:30","01/05/2016 05:30","05:00"
"Personal","01/05/2016 05:30","01/05/2016 07:00","01:30"
"Technical Work","01/05/2016 07:00","01/05/2016 18:15","11:15"
"Personal","01/05/2016 18:15","01/05/2016 19:30","01:15"
"Technical Work","01/05/2016 19:30","01/06/2016 00:00","04:30"
"Technical Work","01/06/2016 00:00","01/06/2016 00:30","00:30"
"Sleep","01/06/2016 00:30","01/06/2016 05:30","05:00"
"Personal","01/06/2016 05:30","01/06/2016 07:00","01:30"
"Technical Work","01/06/2016 07:00","01/06/2016 18:15","11:15"
"Personal","01/06/2016 18:15","01/06/2016 19:30","01:15"
"Technical Work","01/06/2016 19:30","01/07/2016 00:00","04:30"
"Technical Work","01/07/2016 00:00","01/07/2016 00:30","00:30"
"Sleep","01/07/2016 00:30","01/07/2016 05:30","05:00"
"Personal","01/07/2016 05:30","01/07/2016 07:00","01:30"
"Technical Work","01/07/2016 07:00","01/07/2016 18:15","11:15"
"Personal","01/07/2016 18:15","01/07/2016 19:30","01:15"
"Technical Work","01/07/2016 19:30","01/08/2016 00:00","04:30"
"Technical Work","01/08/2016 00:00","01/08/2016 00:30","00:30"
"Sleep","01/08/2016 00:30","01/08/2016 05:30","05:00"
"Personal","01/08/2016 05:30","01/08/2016 07:00","01:30"
"Technical Work","01/08/2016 07:00","01/08/2016 18:15","11:15"
"Personal","01/08/2016 18:15","01/08/2016 19:30","01:15"
"Technical Work","01/08/2016 19:30","01/09/2016 00:00","04:30"
"Technical Work","01/09/2016 00:00","01/09/2016 01:00","01:00"
"Sleep","01/09/2016 01:00","01/09/2016 04:30","03:30"
"Personal","01/09/2016 04:30","01/09/2016 08:00","03:30"
"Technical Work","01/09/2016 08:00","01/09/2016 11:30","03:30"
"Personal","01/09/2016 11:30","01/09/2016 12:45","01:15"
"Technical Work","01/09/2016 12:45","01/09/2016 16:15","03:30"
"Personal","01/09/2016 16:15","01/09/2016 19:30","03:15"
"Technical Work","01/09/2016 19:30","01/10/2016 00:00","04:30"
"Technical Work","01/10/2016 00:00","01/10/2016 01:00","01:00"
"Sleep","01/10/2016 01:00","01/10/2016 05:30","04:30"
"Personal","01/10/2016 05:30","01/10/2016 07:00","01:30"
"Technical Work","01/10/2016 07:00","01/10/2016 13:30","06:30"
"Travel","01/10/2016 13:30","01/11/2016 00:00","10:30"
"Travel","01/11/2016 00:00","01/11/2016 02:00","02:00"
"Sleep","01/11/2016 02:00","01/11/2016 04:00","02:00"
"Technical Work","01/11/2016 04:00","01/11/2016 10:00","06:00"
"Meetings","01/11/2016 10:00","01/11/2016 15:30","05:30"
"Technical Work","01/11/2016 15:30","01/11/2016 22:00","06:30"
"Meetings","01/11/2016 22:00","01/12/2016 00:00","02:00"
"Personal","01/12/2016 00:00","01/12/2016 01:00","01:00"
"Sleep","01/12/2016 01:00","01/12/2016 06:00","05:00"
"Technical Work","01/12/2016 06:00","01/12/2016 12:00","06:00"
"Meetings","01/12/2016 12:00","01/12/2016 14:00","02:00"
"Technical Work","01/12/2016 14:00","01/12/2016 18:00","04:00"
"Meetings","01/12/2016 18:00","01/13/2016 00:00","06:00"
"Personal","01/13/2016 00:00","01/13/2016 01:00","01:00"
"Sleep","01/13/2016 01:00","01/13/2016 06:00","05:00"
"Technical Work","01/13/2016 06:00","01/13/2016 12:00","06:00"
"Meetings","01/13/2016 12:00","01/14/2016 00:00","12:00"
"Personal","01/14/2016 00:00","01/14/2016 01:00","01:00"
"Sleep","01/14/2016 01:00","01/14/2016 06:00","05:00"
"Technical Work","01/14/2016 06:00","01/14/2016 12:00","06:00"
"Personal","01/14/2016 12:00","01/14/2016 18:15","06:15"
"Technical Work","01/14/2016 18:15","01/15/2016 00:00","05:45"
"Technical Work","01/15/2016 00:00","01/15/2016 01:00","01:00"
"Sleep","01/15/2016 01:00","01/15/2016 04:00","03:00"
"Personal","01/15/2016 04:00","01/15/2016 09:00","05:00"
"Technical Work","01/15/2016 09:00","01/15/2016 12:30","03:30"
"Meetings","01/15/2016 12:30","01/15/2016 15:00","02:30"
"Non-Technical Work","01/15/2016 15:00","01/15/2016 16:00","01:00"
"Meetings","01/15/2016 16:00","01/15/2016 18:30","02:30"
"Personal","01/15/2016 18:30","01/15/2016 20:00","01:30"
"Technical Work","01/15/2016 20:00","01/16/2016 00:00","04:00"
"Technical Work","01/16/2016 00:00","01/16/2016 01:00","01:00"
"Sleep","01/16/2016 01:00","01/16/2016 05:30","04:30"
"Personal","01/16/2016 05:30","01/16/2016 09:00","03:30"
"Technical Work","01/16/2016 09:00","01/16/2016 12:30","03:30"
"Personal","01/16/2016 12:30","01/16/2016 18:30","06:00"
"Technical Work","01/16/2016 18:30","01/17/2016 00:00","05:30"
"Technical Work","01/17/2016 00:00","01/17/2016 01:00","01:00"
"Sleep","01/17/2016 01:00","01/17/2016 05:30","04:30"
"Personal","01/17/2016 05:30","01/17/2016 09:00","03:30"
"Technical Work","01/17/2016 09:00","01/17/2016 12:15","03:15"
"Personal","01/17/2016 12:15","01/17/2016 19:00","06:45"
"Technical Work","01/17/2016 19:00","01/18/2016 00:00","05:00"
"Technical Work","01/18/2016 00:00","01/18/2016 01:00","01:00"
"Sleep","01/18/2016 01:00","01/18/2016 05:30","04:30"
"Personal","01/18/2016 05:30","01/18/2016 09:00","03:30"
"Personal","01/18/2016 09:00","01/18/2016 12:30","03:30"
"Personal","01/18/2016 12:30","01/18/2016 19:00","06:30"
"Technical Work","01/18/2016 19:00","01/19/2016 00:00","05:00"
"Technical Work","01/19/2016 00:00","01/19/2016 01:00","01:00"
"Sleep","01/19/2016 01:00","01/19/2016 05:30","04:30"
"Technical Work","01/19/2016 05:30","01/19/2016 12:00","06:30"
"Meetings","01/19/2016 12:00","01/19/2016 14:00","02:00"
"Technical Work","01/19/2016 14:00","01/19/2016 17:30","03:30"
"Meetings","01/19/2016 17:30","01/19/2016 19:00","01:30"
"Technical Work","01/19/2016 19:00","01/20/2016 00:00","05:00"
"Technical Work","01/20/2016 00:00","01/20/2016 01:00","01:00"
"Sleep","01/20/2016 01:00","01/20/2016 06:00","05:00"
"Personal","01/20/2016 06:00","01/20/2016 06:30","00:30"
"Technical Work","01/20/2016 06:30","01/20/2016 10:00","03:30"
"Meetings","01/20/2016 10:00","01/20/2016 13:30","03:30"
"Technical Work","01/20/2016 13:30","01/20/2016 17:00","03:30"
"Meetings","01/20/2016 17:00","01/20/2016 23:30","06:30"
"Non-Technical Work","01/20/2016 23:30","01/21/2016 00:00","00:30"
"Sleep","01/21/2016 00:00","01/21/2016 04:00","04:00"
"Personal","01/21/2016 04:00","01/21/2016 05:00","01:00"
"Travel","01/21/2016 05:00","01/21/2016 19:00","14:00"
"Personal","01/21/2016 19:00","01/21/2016 20:00","01:00"
"Non-Technical Work","01/21/2016 20:00","01/22/2016 00:00","04:00"
"Non-Technical Work","01/22/2016 00:00","01/22/2016 00:30","00:30"
"Sleep","01/22/2016 00:30","01/22/2016 05:30","05:00"
"Personal","01/22/2016 05:30","01/22/2016 07:30","02:00"
"Meetings","01/22/2016 07:30","01/22/2016 08:15","00:45"
"Non-Technical Work","01/22/2016 08:15","01/22/2016 11:30","03:15"
"Technical Work","01/22/2016 11:30","01/22/2016 18:30","07:00"
"Personal","01/22/2016 18:30","01/22/2016 20:30","02:00"
"Technical Work","01/22/2016 20:30","01/23/2016 00:00","03:30"
"Technical Work","01/23/2016 00:00","01/23/2016 01:00","01:00"
"Sleep","01/23/2016 01:00","01/23/2016 05:30","04:30"
"Personal","01/23/2016 05:30","01/23/2016 08:00","02:30"
"Technical Work","01/23/2016 08:00","01/23/2016 13:00","05:00"
"Personal","01/23/2016 13:00","01/23/2016 15:00","02:00"
"Technical Work","01/23/2016 15:00","01/23/2016 18:30","03:30"
"Personal","01/23/2016 18:30","01/23/2016 20:30","02:00"
"Technical Work","01/23/2016 20:30","01/24/2016 00:00","03:30"
"Technical Work","01/24/2016 00:00","01/24/2016 01:00","01:00"
"Sleep","01/24/2016 01:00","01/24/2016 05:30","04:30"
"Personal","01/24/2016 05:30","01/24/2016 08:00","02:30"
"Technical Work","01/24/2016 08:00","01/24/2016 18:30","10:30"
"Personal","01/24/2016 18:30","01/24/2016 20:30","02:00"
"Technical Work","01/24/2016 20:30","01/25/2016 00:00","03:30"
"Sleep","01/25/2016 00:00","01/25/2016 06:30","06:30"
"Personal","01/25/2016 06:30","01/25/2016 07:45","01:15"
"Non-Technical Work","01/25/2016 07:45","01/25/2016 16:00","08:15"
"Meeting","01/25/2016 16:00","01/25/2016 17:30","01:30"
"Personal","01/25/2016 17:30","01/25/2016 19:30","02:00"
"Technical Work","01/25/2016 19:30","01/26/2016 00:00","04:30"
"Sleep","01/26/2016 00:00","01/26/2016 06:30","06:30"
"Personal","01/26/2016 06:30","01/26/2016 07:45","01:15"
"Technical Work","01/26/2016 07:45","01/26/2016 17:30","09:45"
"Personal","01/26/2016 17:30","01/26/2016 19:30","02:00"
"Technical Work","01/26/2016 19:30","01/27/2016 00:00","04:30"
"Sleep","01/27/2016 00:00","01/27/2016 06:30","06:30"
"Personal","01/27/2016 06:30","01/27/2016 07:45","01:15"
"Non-Technical Work","01/27/2016 07:45","01/27/2016 10:30","02:45"
"Meeting","01/27/2016 10:30","01/27/2016 11:00","00:30"
"Technical Work","01/27/2016 11:00","01/27/2016 17:30","06:30"
"Personal","01/27/2016 17:30","01/27/2016 19:30","02:00"
"Technical Work","01/27/2016 19:30","01/28/2016 00:00","04:30"
"Sleep","01/28/2016 00:00","01/28/2016 06:45","06:45"
"Personal","01/28/2016 06:45","01/28/2016 07:45","01:00"
"Technical Work","01/28/2016 07:45","01/29/2016 00:00","16:15"
"Sleep","01/29/2016 00:00","01/29/2016 06:30","06:30"
"Personal","01/29/2016 06:30","01/29/2016 07:45","01:15"
"Non-Technical Work","01/29/2016 07:45","01/29/2016 17:30","09:45"
"Personal","01/29/2016 17:30","01/29/2016 19:30","02:00"
"Technical Work","01/29/2016 19:30","01/30/2016 00:00","04:30"
"Technical Work","01/30/2016 00:00","01/30/2016 01:00","01:00"
"Sleep","01/30/2016 01:00","01/30/2016 06:45","05:45"
"Personal","01/30/2016 06:45","01/30/2016 12:00","05:15"
"Technical Work","01/30/2016 12:00","01/30/2016 17:30","05:30"
"Personal","01/30/2016 17:30","01/30/2016 19:00","01:30"
"Non-Technical Work","01/30/2016 19:00","01/30/2016 22:30","03:30"
"Non-Technical Work","01/30/2016 22:30","01/31/2016 00:00","01:30"
"Sleep","01/31/2016 00:00","01/31/2016 06:00","06:00"
"Personal","01/31/2016 06:00","01/31/2016 11:15","05:15"
"Non-Technical Work","01/31/2016 11:15","01/31/2016 17:30","06:15"
"Personal","01/31/2016 17:30","01/31/2016 19:00","01:30"
"Meeting","01/31/2016 19:00","01/31/2016 22:30","03:30"
"Non-Technical Work","01/31/2016 22:30","02/01/2016 00:00","01:30"
